ID	R	G	B
1	3.0480	1.1590	3.3680
2	0.3812	0.5436	2.4638
3	0.5449	0.6367	2.7869
4	0.4582	0.5556	2.3611
5	0.7981	0.8416	3.3333
6	1.0828	1.0493	4.1463
7	0.4971	0.6693	2.9825
8	0.4971	0.6693	2.9825
9	0.5036	0.6195	2.7723
10	0.3226	0.5147	2.4779
11	0.4861	0.7016	3.2558
12	0.4575	0.6422	3.0108
13	0.4575	0.6422	3.0108
14	2.45	0.9545	3.0625
15	2.625	1.0138	3.2667
16	3.1957	1.225	3.973
17	0.4575	0.6422	3.0108
18	2.194	0.8212	2.5789
19	2.7222	1.0352	3.3409
20	2.6726	1.028	3.2667
21	0.4575	0.6422	3.0108
22	0.4575	0.6422	3.0108
23	3.375	1.3107	4.3548
24	0.4575	0.6422	3.0108
25	3.4615	1.35	4.6552
26	3.5526	1.3776	4.3548
27	3.1395	1.2857	4.3548
28	3.2143	1.2857	4.3548
29	3.4615	1.3636	4.6552
30	3	1.2273	4.2188
31	3.8378	1.4947	5.0714
32	4.2821	1.7216	5.9643
33	3.34	1.3917	4.7714
34	4.0732	1.6869	5.9643
35	4.7315	1.8601	6.1572
36	3.9167	1.5243	5.2222
37	3.414	1.3545	4.5484
38	3.525	1.3756	4.5484
39	2.9079	1.1488	3.8611
40	3.9762	1.5607	5.3871
41	3.2326	1.2301	4.6333
42	3.1591	1.2991	4.3711
43	4.0282	1.5978	5.5
44	4.6053	1.9231	6.7308
45	4.375	1.7677	6.25
46	3.5532	1.4779	5.2188
47	3.7838	1.5217	5.0909
48	2.9298	1.1929	4.175
49	3.4146	1.3592	4.5161
50	3.3019	1.3359	4.6053
51	4.0732	1.7041	5.9643
52	3.7955	1.5755	5.3871
53	2.8793	1.2652	4.3947
54	3.7955	1.5463	5.3871
55	3.9706	1.5169	5.1923
56	2.7	1.063	3.5526
57	3.375	1.3366	4.5
58	3.2143	1.25	4.2188
59	3.6304	1.4911	5.2188
60	3.75	1.4835	5
61	3.9706	1.5882	5.4
62	3.2143	1.2617	4.2188
63	2.76	1.1405	3.8333
64	2.0597	0.8118	2.6538
65	2.0294	0.8364	2.8163
66	2.3	0.9324	3.0667
67	2.2933	0.86	2.8082
68	3.694	1.4944	5.1154
69	4.3434	1.7821	6.0435
70	4.5667	1.7125	5.48
71	3.186	1.3431	4.4194
72	2.5273	1.062	3.5641
73	2.78	1.1583	3.9714
74	3.325	1.4	4.75
75	3	1.2162	4.0909
76	4.0294	1.631	5.48
77	5.7826	2.2542	7.8235
78	3.0217	1.2193	4.0882
79	5.1481	2.0145	6.95
80	3.349	1.3689	4.7
81	4.3548	1.8	6.1363
82	5.423	2.0735	7.05
83	3.9718	1.5754	5.2222
84	4.2727	1.7625	5.875
85	0.4575	0.6422	3.0108
86	0.4575	0.6422	3.0108
87	0.4575	0.6422	3.0108
88	0.4575	0.6422	3.0108
89	0.4575	0.6422	3.0108
90	0.4575	0.6422	3.0108
91	0.4575	0.6422	3.0108
92	0.4575	0.6422	3.0108
93	0.4575	0.6422	3.0108
94	0.4575	0.6422	3.0108
95	0.4575	0.6422	3.0108
96	0.4575	0.6422	3.0108
97	0.4575	0.6422	3.0108
98	0.4575	0.6422	3.0108
99	0.4575	0.6422	3.0108
100	3.0064	1.2504	3.5325
101	3.186	1.37	4.0294
102	3.9167	1.6207	4.8621
103	3.9706	1.6667	4.8214
104	2.6471	1.1538	3.375
105	3.6053	1.5307	4.4918
106	3.8028	1.6071	4.8214
107	4.0303	1.7051	4.9259
108	3.5	1.4911	4.375
109	2.7755	1.1982	3.4872
110	3.5325	1.4703	4.3175
111	0.4575	0.6422	3.0108
112	2.8936	1.2143	3.4872
113	2.2667	0.9544	2.7474
114	3.6757	1.5814	4.6897
115	2.1724	0.9474	2.7391
116	2.8333	1.1775	3.4
117	3.6522	1.5181	4.5
118	2.625	1.1667	3.4054
119	2.625	1.1053	3.2308
120	2.4615	1.016	3
121	2.6667	1.1361	3.3103
122	2.3415	1	2.9091
123	2.625	1.1351	3.36
124	2.7429	1.1163	3.3103
125	2.3818	1.0155	2.9773
126	0.4575	0.6422	3.0108
127	2.2909	1.008	2.9647
128	1.9592	0.8348	2.4615
129	0.4575	0.6422	3.0108
130	2.8305	1.2014	3.5532
131	3.1667	1.3367	3.9118
132	3.8571	1.5341	4.5
133	3.6901	1.5144	4.3667
134	4.0303	1.7051	5.1154
135	3.8529	1.6582	3.9434
136	4.4262	1.7881	5.1923
