Rise,Set
1/1/2012 11:03,1/1/2012 0:07
1/2/2012 12:04,1/2/2012 1:03
1/3/2012 12:07,1/3/2012 2:08
1/4/2012 13:05,1/4/2012 3:04
1/5/2012 14:08,1/5/2012 4:00
1/6/2012 15:06,1/6/2012 5:04
1/7/2012 16:00,1/7/2012 5:06
1/8/2012 16:09,1/8/2012 6:04
1/9/2012 18:01,1/9/2012 7:07
1/10/2012 19:05,1/10/2012 8:07
1/11/2012 20:00,1/11/2012 8:03
1/12/2012 21:06,1/12/2012 9:07
1/13/2012 22:01,1/13/2012 9:00
1/14/2012 23:08,1/14/2012 10:03
1/16/2012 0:05,1/15/2012 10:07
1/17/2012 1:04,1/16/2012 11:05
1/18/2012 2:01,1/17/2012 12:07
1/19/2012 3:07,1/18/2012 13:06
1/20/2012 4:07,1/19/2012 14:01
1/21/2012 5:01,1/20/2012 15:01
1/22/2012 6:08,1/21/2012 16:05
1/23/2012 7:09,1/22/2012 17:01
1/24/2012 7:04,1/23/2012 18:06
1/25/2012 8:06,1/24/2012 19:08
1/26/2012 8:06,1/25/2012 20:09
1/27/2012 9:05,1/26/2012 21:07
1/28/2012 9:04,1/27/2012 22:05
1/29/2012 10:04,1/28/2012 23:01
1/30/2012 10:06,1/30/2012 0:07
1/31/2012 11:02,1/31/2012 1:03
2/1/2012 12:02,2/1/2012 1:08
2/2/2012 12:07,2/2/2012 2:03
2/3/2012 13:08,2/3/2012 3:05
2/4/2012 14:05,2/4/2012 4:04
2/5/2012 15:06,2/5/2012 5:00
2/6/2012 16:09,2/6/2012 6:02
2/7/2012 17:05,2/7/2012 6:00
2/8/2012 19:02,2/8/2012 7:06
2/9/2012 20:00,2/9/2012 7:00
2/10/2012 21:08,2/10/2012 8:04
2/11/2012 22:06,2/11/2012 8:09
2/12/2012 23:05,2/12/2012 9:07
2/14/2012 0:04,2/13/2012 10:08
2/15/2012 1:09,2/14/2012 11:04
2/16/2012 2:00,2/15/2012 11:06
2/17/2012 3:05,2/16/2012 12:04
2/18/2012 4:04,2/17/2012 13:05
2/19/2012 5:06,2/18/2012 14:09
2/20/2012 5:03,2/19/2012 16:02
2/21/2012 6:06,2/20/2012 17:05
2/22/2012 6:06,2/21/2012 18:06
2/23/2012 7:05,2/22/2012 19:05
2/24/2012 7:04,2/23/2012 20:03
2/25/2012 8:04,2/24/2012 21:00
2/26/2012 8:06,2/25/2012 21:06
2/27/2012 9:00,2/26/2012 22:02
2/28/2012 10:08,2/27/2012 23:07
2/29/2012 10:01,2/29/2012 0:02
3/1/2012 11:08,3/1/2012 1:04
3/2/2012 12:01,3/2/2012 2:04
3/3/2012 13:09,3/3/2012 3:00
3/4/2012 14:00,3/4/2012 3:03
3/5/2012 15:05,3/5/2012 4:03
3/6/2012 16:01,3/6/2012 5:00
3/7/2012 17:09,3/7/2012 5:06
3/8/2012 18:09,3/8/2012 6:00
3/9/2012 20:09,3/9/2012 6:06
3/10/2012 21:01,3/10/2012 7:04
3/11/2012 23:02,3/11/2012 9:05
3/13/2012 0:00,3/12/2012 10:02
3/14/2012 1:04,3/13/2012 10:03
3/15/2012 2:01,3/14/2012 11:00
3/16/2012 3:02,3/15/2012 12:00
3/17/2012 4:05,3/16/2012 13:03
3/18/2012 4:03,3/17/2012 14:06
3/19/2012 5:07,3/18/2012 15:07
3/20/2012 5:08,3/19/2012 16:07
3/21/2012 6:07,3/20/2012 17:06
3/22/2012 6:06,3/21/2012 18:04
3/23/2012 7:06,3/22/2012 19:01
3/24/2012 7:07,3/23/2012 20:07
3/25/2012 8:00,3/24/2012 21:03
3/26/2012 9:07,3/25/2012 22:09
3/27/2012 9:07,3/26/2012 23:03
3/28/2012 10:03,3/28/2012 0:06
3/29/2012 11:03,3/29/2012 1:06
3/30/2012 12:07,3/30/2012 2:03
3/31/2012 13:05,3/31/2012 2:06
4/1/2012 14:06,4/1/2012 3:06
4/2/2012 15:00,4/2/2012 4:04
4/3/2012 16:06,4/3/2012 4:09
4/4/2012 17:04,4/4/2012 5:04
4/5/2012 18:05,4/5/2012 5:09
4/6/2012 19:07,4/6/2012 6:06
4/7/2012 21:00,4/7/2012 7:07
4/8/2012 22:02,4/8/2012 7:02
4/9/2012 23:01,4/9/2012 8:03
4/11/2012 0:03,4/10/2012 9:00
4/12/2012 1:07,4/11/2012 10:02
4/13/2012 2:04,4/12/2012 11:06
4/14/2012 2:04,4/13/2012 12:09
4/15/2012 3:09,4/14/2012 13:02
4/16/2012 4:01,4/15/2012 14:02
4/17/2012 4:00,4/16/2012 15:01
4/18/2012 4:09,4/17/2012 16:08
4/19/2012 5:08,4/18/2012 17:05
4/20/2012 5:08,4/19/2012 18:01
4/21/2012 6:01,4/20/2012 19:07
4/22/2012 7:07,4/21/2012 20:02
4/23/2012 7:06,4/22/2012 21:07
4/24/2012 8:00,4/23/2012 22:00
4/25/2012 9:08,4/24/2012 23:01
4/26/2012 10:00,4/25/2012 23:09
4/27/2012 11:06,4/27/2012 0:03
4/28/2012 12:05,4/28/2012 1:03
4/29/2012 13:06,4/29/2012 2:00
4/30/2012 14:08,4/30/2012 2:05
5/1/2012 15:03,5/1/2012 3:09
5/2/2012 16:00,5/2/2012 3:03
5/3/2012 17:00,5/3/2012 4:08
5/4/2012 18:03,5/4/2012 4:06
5/5/2012 19:06,5/5/2012 5:09
5/6/2012 21:08,5/6/2012 6:08
5/7/2012 22:06,5/7/2012 7:03
5/8/2012 23:06,5/8/2012 8:05
5/10/2012 0:07,5/9/2012 9:00
5/11/2012 0:01,5/10/2012 10:07
5/12/2012 1:09,5/11/2012 11:02
5/13/2012 2:02,5/12/2012 12:05
5/14/2012 2:03,5/13/2012 13:05
5/15/2012 3:02,5/14/2012 14:03
5/16/2012 3:01,5/15/2012 15:00
5/17/2012 4:01,5/16/2012 16:06
5/18/2012 4:03,5/17/2012 17:01
5/19/2012 5:07,5/18/2012 18:07
5/20/2012 5:05,5/19/2012 19:02
5/21/2012 6:08,5/20/2012 20:06
5/22/2012 7:05,5/21/2012 21:08
5/23/2012 8:06,5/22/2012 21:07
5/24/2012 9:01,5/23/2012 22:02
5/25/2012 9:08,5/24/2012 23:03
5/26/2012 10:08,5/26/2012 0:01
5/27/2012 11:08,5/27/2012 0:06
5/28/2012 13:01,5/28/2012 1:09
5/29/2012 14:04,5/29/2012 1:01
5/30/2012 15:01,5/30/2012 2:05
5/31/2012 16:09,5/31/2012 2:00
6/1/2012 17:00,6/1/2012 3:09
6/2/2012 18:02,6/2/2012 4:04
6/3/2012 19:03,6/3/2012 5:05
6/4/2012 20:07,6/4/2012 6:04
6/5/2012 21:04,6/5/2012 7:08
6/6/2012 22:03,6/6/2012 8:06
6/7/2012 23:05,6/7/2012 9:04
6/9/2012 0:01,6/8/2012 10:00
6/10/2012 0:04,6/9/2012 11:03
6/11/2012 1:04,6/10/2012 12:04
6/12/2012 1:04,6/11/2012 13:02
6/13/2012 2:03,6/12/2012 14:09
6/14/2012 2:04,6/13/2012 15:05
6/15/2012 3:08,6/14/2012 16:01
6/16/2012 3:04,6/15/2012 17:06
6/17/2012 4:05,6/16/2012 18:00
6/18/2012 5:01,6/17/2012 19:03
6/19/2012 6:01,6/18/2012 19:04
6/20/2012 6:05,6/19/2012 20:00
6/21/2012 7:03,6/20/2012 21:03
6/22/2012 8:02,6/21/2012 22:02
6/23/2012 9:02,6/22/2012 22:08
6/24/2012 10:04,6/23/2012 23:02
6/25/2012 11:06,6/24/2012 23:04
6/26/2012 13:00,6/26/2012 0:06
6/27/2012 14:06,6/27/2012 0:00
6/28/2012 15:03,6/28/2012 1:06
6/29/2012 16:03,6/29/2012 2:07
6/30/2012 17:02,6/30/2012 2:03
7/1/2012 18:08,7/1/2012 3:07
7/2/2012 19:08,7/2/2012 4:07
7/3/2012 20:01,7/3/2012 5:03
7/4/2012 21:07,7/4/2012 7:02
7/5/2012 21:07,7/5/2012 8:00
7/6/2012 22:02,7/6/2012 9:06
7/7/2012 23:04,7/7/2012 10:09
7/8/2012 23:04,7/8/2012 11:00
7/10/2012 0:04,7/9/2012 12:08
7/11/2012 0:05,7/10/2012 13:06
7/12/2012 1:08,7/11/2012 14:02
7/13/2012 1:03,7/12/2012 15:08
7/14/2012 2:03,7/13/2012 16:03
7/15/2012 3:06,7/14/2012 16:06
7/16/2012 3:05,7/15/2012 17:08
7/17/2012 4:08,7/16/2012 18:06
7/18/2012 5:05,7/17/2012 19:01
7/19/2012 6:04,7/18/2012 20:02
