Seconds	Time	Lux	CLA	CS	Activity
3422874180.000000	41078.390973	22.086935	27.186058	0.107332	0.414209
3422874360.000000	41078.393056	2.943479	2.287287	0.014472	0.031200
3422874540.000000	41078.395139	2.943479	2.287287	0.014472	0.094891
3422874720.000000	41078.397223	0.330720	0.608889	0.004674	0.115693
3422874900.000000	41078.399306	2.692777	3.237471	0.019407	0.348128
3422875080.000000	41078.401389	1.988992	2.044549	0.013158	0.235555
3422875260.000000	41078.403473	0.000000	0.000000	0.000000	0.441235
3422875440.000000	41078.405556	0.000000	0.000000	0.000000	0.349872
3422875620.000000	41078.407639	0.000000	0.000000	0.000000	0.512906
3422875800.000000	41078.409723	0.000000	0.000000	0.000000	0.044123
3422875980.000000	41078.411806	0.000000	0.000000	0.000000	0.038212
3422876160.000000	41078.413889	0.000000	0.000000	0.000000	0.038212
3422876340.000000	41078.415973	0.000000	0.000000	0.000000	0.034883
3422876520.000000	41078.418056	0.000000	0.000000	0.000000	0.034883
3422876700.000000	41078.420139	0.000000	0.000000	0.000000	0.038212
3422876880.000000	41078.422223	0.000000	0.000000	0.000000	0.034883
3422877060.000000	41078.424306	0.000000	0.000000	0.000000	0.038212
3422877240.000000	41078.426389	0.000000	0.000000	0.000000	0.038212
3422877420.000000	41078.428473	0.000000	0.000000	0.000000	0.034883
3422877600.000000	41078.430556	0.000000	0.000000	0.000000	0.034883
3422877780.000000	41078.432639	0.000000	0.000000	0.000000	0.034883
3422877960.000000	41078.434723	0.000000	0.000000	0.000000	0.034883
3422878140.000000	41078.436806	0.000000	0.000000	0.000000	0.038212
3422878320.000000	41078.438889	0.000000	0.000000	0.000000	0.034883
3422878500.000000	41078.440973	0.000000	0.000000	0.000000	0.038212
3422878680.000000	41078.443056	0.000000	0.000000	0.000000	0.049332
3422878860.000000	41078.445139	0.000000	0.000000	0.000000	0.034883
3422879040.000000	41078.447223	0.000000	0.000000	0.000000	0.034883
3422879220.000000	41078.449306	0.000000	0.000000	0.000000	0.031200
3422879400.000000	41078.451389	0.000000	0.000000	0.000000	0.105804
3422879580.000000	41078.453473	0.000000	0.000000	0.000000	0.181256
3422879760.000000	41078.455556	0.000000	0.000000	0.000000	0.596075
3422879940.000000	41078.457639	0.000000	0.000000	0.000000	0.362175
3422880120.000000	41078.459723	0.000000	0.000000	0.000000	0.034883
3422880300.000000	41078.461806	0.000000	0.000000	0.000000	0.034883
3422880480.000000	41078.463889	0.000000	0.000000	0.000000	0.034883
3422880660.000000	41078.465973	0.000000	0.000000	0.000000	0.034883
3422880840.000000	41078.468056	0.000000	0.000000	0.000000	0.034883
3422881020.000000	41078.470139	0.000000	0.000000	0.000000	0.046800
3422881200.000000	41078.472223	0.000000	0.000000	0.000000	0.098663
3422881380.000000	41078.474306	0.000000	0.000000	0.000000	0.044123
3422881560.000000	41078.476389	0.000000	0.000000	0.000000	0.115693
3422881740.000000	41078.478473	0.000000	0.000000	0.000000	0.034883
3422881920.000000	41078.480556	0.000000	0.000000	0.000000	0.034883
3422882100.000000	41078.482639	0.000000	0.000000	0.000000	0.034883
3422882280.000000	41078.484723	0.000000	0.000000	0.000000	0.034883
3422882460.000000	41078.486806	0.000000	0.000000	0.000000	0.034883
3422882640.000000	41078.488889	0.000000	0.000000	0.000000	0.034883
3422882820.000000	41078.490973	0.000000	0.000000	0.000000	0.034883
3422883000.000000	41078.493056	0.000000	0.000000	0.000000	0.034883
3422883180.000000	41078.495139	0.000000	0.000000	0.000000	0.034883
3422883360.000000	41078.497223	0.000000	0.000000	0.000000	0.034883
3422883540.000000	41078.499306	0.000000	0.000000	0.000000	0.038212
3422883720.000000	41078.501389	0.000000	0.000000	0.000000	0.034883
3422883900.000000	41078.503473	0.000000	0.000000	0.000000	0.034883
3422884080.000000	41078.505556	0.000000	0.000000	0.000000	0.034883
3422884260.000000	41078.507639	0.000000	0.000000	0.000000	0.034883
3422884440.000000	41078.509723	0.000000	0.000000	0.000000	0.034883
3422884620.000000	41078.511806	0.000000	0.000000	0.000000	0.034883
3422884800.000000	41078.513889	0.000000	0.000000	0.000000	0.034883
3422884980.000000	41078.515973	0.000000	0.000000	0.000000	0.034883
3422885160.000000	41078.518056	0.000000	0.000000	0.000000	0.034883
3422885340.000000	41078.520139	0.000000	0.000000	0.000000	0.034883
3422885520.000000	41078.522223	0.000000	0.000000	0.000000	0.034883
3422885700.000000	41078.524306	0.000000	0.000000	0.000000	0.034883
3422885880.000000	41078.526389	0.000000	0.000000	0.000000	0.034883
3422886060.000000	41078.528473	0.000000	0.000000	0.000000	0.034883
3422886240.000000	41078.530556	0.000000	0.000000	0.000000	0.034883
3422886420.000000	41078.532639	0.000000	0.000000	0.000000	0.034883
3422886600.000000	41078.534723	0.000000	0.000000	0.000000	0.034883
3422886780.000000	41078.536806	0.000000	0.000000	0.000000	0.038212
3422886960.000000	41078.538889	0.000000	0.000000	0.000000	0.034883
3422887140.000000	41078.540973	0.000000	0.000000	0.000000	0.038212
3422887320.000000	41078.543056	0.000000	0.000000	0.000000	0.034883
3422887500.000000	41078.545139	0.000000	0.000000	0.000000	0.031200
3422887680.000000	41078.547223	0.000000	0.000000	0.000000	0.034883
3422887860.000000	41078.549306	0.000000	0.000000	0.000000	0.034883
3422888040.000000	41078.551389	0.000000	0.000000	0.000000	0.034883
3422888220.000000	41078.553473	0.000000	0.000000	0.000000	0.038212
3422888400.000000	41078.555556	0.000000	0.000000	0.000000	0.034883
3422888580.000000	41078.557639	0.000000	0.000000	0.000000	0.034883
3422888760.000000	41078.559723	0.000000	0.000000	0.000000	0.034883
3422888940.000000	41078.561806	0.000000	0.000000	0.000000	0.034883
3422889120.000000	41078.563889	0.000000	0.000000	0.000000	0.034883
3422889300.000000	41078.565973	0.000000	0.000000	0.000000	0.034883
3422889480.000000	41078.568056	0.000000	0.000000	0.000000	0.034883
3422889660.000000	41078.570139	0.000000	0.000000	0.000000	0.038212
3422889840.000000	41078.572223	0.000000	0.000000	0.000000	0.038212
3422890020.000000	41078.574306	0.000000	0.000000	0.000000	0.034883
3422890200.000000	41078.576389	0.000000	0.000000	0.000000	0.034883
3422890380.000000	41078.578473	0.000000	0.000000	0.000000	0.034883
3422890560.000000	41078.580556	0.000000	0.000000	0.000000	0.034883
3422890740.000000	41078.582639	0.000000	0.000000	0.000000	0.038212
3422890920.000000	41078.584723	0.000000	0.000000	0.000000	0.034883
3422891100.000000	41078.586806	0.000000	0.000000	0.000000	0.034883
3422891280.000000	41078.588889	0.000000	0.000000	0.000000	0.034883
3422891460.000000	41078.590973	0.000000	0.000000	0.000000	0.034883
3422891640.000000	41078.593056	0.000000	0.000000	0.000000	0.034883
3422891820.000000	41078.595139	0.000000	0.000000	0.000000	0.038212
3422892000.000000	41078.597223	0.000000	0.000000	0.000000	0.038212
3422892180.000000	41078.599306	0.000000	0.000000	0.000000	0.034883
3422892360.000000	41078.601389	0.000000	0.000000	0.000000	0.038212
3422892540.000000	41078.603473	0.000000	0.000000	0.000000	0.034883
3422892720.000000	41078.605556	0.000000	0.000000	0.000000	0.034883
3422892900.000000	41078.607639	0.000000	0.000000	0.000000	0.034883
3422893080.000000	41078.609723	0.000000	0.000000	0.000000	0.038212
3422893260.000000	41078.611806	0.000000	0.000000	0.000000	0.038212
3422893440.000000	41078.613889	0.000000	0.000000	0.000000	0.034883
3422893620.000000	41078.615973	0.000000	0.000000	0.000000	0.034883
3422893800.000000	41078.618056	0.000000	0.000000	0.000000	0.034883
3422893980.000000	41078.620139	0.000000	0.000000	0.000000	0.034883
3422894160.000000	41078.622223	0.000000	0.000000	0.000000	0.034883
3422894340.000000	41078.624306	0.000000	0.000000	0.000000	0.034883
3422894520.000000	41078.626389	0.000000	0.000000	0.000000	0.034883
3422894700.000000	41078.628473	0.000000	0.000000	0.000000	0.034883
3422894880.000000	41078.630556	0.000000	0.000000	0.000000	0.034883
3422895060.000000	41078.632639	0.000000	0.000000	0.000000	0.034883
3422895240.000000	41078.634723	0.000000	0.000000	0.000000	0.034883
3422895420.000000	41078.636806	0.000000	0.000000	0.000000	0.034883
3422895600.000000	41078.638889	0.000000	0.000000	0.000000	0.034883
3422895780.000000	41078.640973	0.000000	0.000000	0.000000	0.034883
3422895960.000000	41078.643056	0.000000	0.000000	0.000000	0.034883
3422896140.000000	41078.645139	0.000000	0.000000	0.000000	0.034883
3422896320.000000	41078.647223	0.000000	0.000000	0.000000	0.038212
3422896500.000000	41078.649306	0.000000	0.000000	0.000000	0.034883
3422896680.000000	41078.651389	0.000000	0.000000	0.000000	0.034883
3422896860.000000	41078.653473	0.000000	0.000000	0.000000	0.034883
3422897040.000000	41078.655556	0.000000	0.000000	0.000000	0.034883
3422897220.000000	41078.657639	0.000000	0.000000	0.000000	0.031200
3422897400.000000	41078.659723	0.000000	0.000000	0.000000	0.034883
3422897580.000000	41078.661806	0.000000	0.000000	0.000000	0.034883
3422897760.000000	41078.663889	0.000000	0.000000	0.000000	0.034883
3422897940.000000	41078.665973	0.000000	0.000000	0.000000	0.034883
3422898120.000000	41078.668056	0.000000	0.000000	0.000000	0.034883
3422898300.000000	41078.670139	0.000000	0.000000	0.000000	0.034883
3422898480.000000	41078.672223	0.000000	0.000000	0.000000	0.038212
3422898660.000000	41078.674306	0.000000	0.000000	0.000000	0.034883
3422898840.000000	41078.676389	0.000000	0.000000	0.000000	0.034883
3422899020.000000	41078.678473	0.000000	0.000000	0.000000	0.034883
3422899200.000000	41078.680556	0.000000	0.000000	0.000000	0.038212
3422899380.000000	41078.682639	0.000000	0.000000	0.000000	0.034883
3422899560.000000	41078.684723	0.000000	0.000000	0.000000	0.038212
3422899740.000000	41078.686806	0.000000	0.000000	0.000000	0.034883
3422899920.000000	41078.688889	0.000000	0.000000	0.000000	0.034883
3422900100.000000	41078.690973	0.000000	0.000000	0.000000	0.034883
