Seconds	Time	Lux	CLA	CS	Activity
3428922360.000000	41148.393056	64.631918	87.865450	0.236364	0.272889
3428922540.000000	41148.395139	237.451067	340.960240	0.448188	0.064320
3428922720.000000	41148.397223	138.656356	193.091014	0.357038	0.636549
3428922900.000000	41148.399306	193.759670	267.488483	0.409723	0.054040
3428923080.000000	41148.401389	254.767820	338.419815	0.447021	0.031200
3428923260.000000	41148.403473	210.013322	288.445623	0.421797	0.034883
3428923440.000000	41148.405556	89.306730	122.940638	0.285640	0.523937
3428923620.000000	41148.407639	572.598447	621.236910	0.535327	0.450243
3428923800.000000	41148.409723	3.936556	0.000000	0.000000	0.470851
3428923980.000000	41148.411806	0.000000	0.000000	0.000000	0.056247
3428924160.000000	41148.413889	0.000000	0.000000	0.000000	0.034883
3428924340.000000	41148.415973	0.000000	0.000000	0.000000	0.034883
3428924520.000000	41148.418056	0.000000	0.000000	0.000000	0.031200
3428924700.000000	41148.420139	0.000000	0.000000	0.000000	0.288916
3428924880.000000	41148.422223	0.000000	0.000000	0.000000	0.031200
3428925060.000000	41148.424306	0.000000	0.000000	0.000000	0.031200
3428925240.000000	41148.426389	0.000000	0.000000	0.000000	0.034883
3428925420.000000	41148.428473	0.000000	0.000000	0.000000	0.031200
3428925600.000000	41148.430556	0.000000	0.000000	0.000000	0.031200
3428925780.000000	41148.432639	0.000000	0.000000	0.000000	0.034883
3428925960.000000	41148.434723	0.000000	0.000000	0.000000	0.034883
3428926140.000000	41148.436806	0.000000	0.000000	0.000000	0.034883
3428926320.000000	41148.438889	0.000000	0.000000	0.000000	0.031200
3428926500.000000	41148.440973	0.000000	0.000000	0.000000	0.034883
3428926680.000000	41148.443056	0.000000	0.000000	0.000000	0.031200
3428926860.000000	41148.445139	0.000000	0.000000	0.000000	0.034883
3428927040.000000	41148.447223	0.000000	0.000000	0.000000	0.034883
3428927220.000000	41148.449306	0.000000	0.000000	0.000000	0.031200
3428927400.000000	41148.451389	0.000000	0.000000	0.000000	0.034883
3428927580.000000	41148.453473	0.000000	0.000000	0.000000	0.034883
3428927760.000000	41148.455556	0.000000	0.000000	0.000000	0.031200
3428927940.000000	41148.457639	0.000000	0.000000	0.000000	0.031200
3428928120.000000	41148.459723	0.000000	0.000000	0.000000	0.031200
3428928300.000000	41148.461806	0.000000	0.000000	0.000000	0.031200
3428928480.000000	41148.463889	0.000000	0.000000	0.000000	0.034883
3428928660.000000	41148.465973	0.000000	0.000000	0.000000	0.034883
