Seconds	Time	Lux	CLA	CS	Activity
3441102780.000000	41289.370139	39.821915	37.191947	0.134714	0.336034
3441102840.000000	41289.370834	26.509013	23.667603	0.096782	0.027020
3441102900.000000	41289.371528	27.911067	26.372472	0.104940	0.044123
3441102960.000000	41289.372223	21.326758	19.610299	0.083891	0.486610
3441103020.000000	41289.372917	309.436051	295.506925	0.425649	0.044123
3441103080.000000	41289.373611	407.586006	392.205988	0.469726	0.031200
3441103140.000000	41289.374306	397.417526	385.443815	0.467084	0.027020
3441103200.000000	41289.375000	26.749488	23.667603	0.096782	1.051121
3441103260.000000	41289.375695	7.878270	8.114607	0.041623	0.683202
3441103320.000000	41289.376389	21.157291	18.257865	0.079400	0.901432
3441103380.000000	41289.377084	255.090141	250.876589	0.399402	0.633099
3441103440.000000	41289.377778	370.908512	361.776213	0.457374	0.038212
3441103500.000000	41289.378473	266.214539	260.343630	0.405370	0.557686
3441103560.000000	41289.379167	0.000000	0.000000	0.000000	0.823851
3441103620.000000	41289.379861	0.000000	0.000000	0.000000	0.624195
3441103680.000000	41289.380556	0.000000	0.000000	0.000000	0.488357
3441103740.000000	41289.381250	0.000000	0.000000	0.000000	0.433163
3441103800.000000	41289.381945	12.285043	8.727461	0.044167	0.580354
3441103860.000000	41289.382639	8.629906	9.467041	0.047180	0.432882
3441103920.000000	41289.383334	0.000000	0.000000	0.000000	0.392798
3441103980.000000	41289.384028	29.061677	24.343820	0.098852	0.784666
3441104040.000000	41289.384723	3.100018	0.676217	0.005114	0.227139
3441104100.000000	41289.385417	0.000000	0.000000	0.000000	0.734692
3441104160.000000	41289.386111	0.000000	0.000000	0.000000	0.523007
3441104220.000000	41289.386806	0.000000	0.000000	0.000000	0.566991
3441104280.000000	41289.387500	0.000000	0.000000	0.000000	0.239143
3441104340.000000	41289.388195	0.000000	0.000000	0.000000	0.034883
3441104400.000000	41289.388889	0.000000	0.000000	0.000000	0.319324
3441104460.000000	41289.389584	0.000000	0.000000	0.000000	0.031200
3441104520.000000	41289.390278	0.000000	0.000000	0.000000	0.031200
3441104580.000000	41289.390973	0.000000	0.000000	0.000000	0.031200
3441104640.000000	41289.391667	0.000000	0.000000	0.000000	0.034883
3441104700.000000	41289.392361	0.000000	0.000000	0.000000	0.289337
3441104760.000000	41289.393056	0.000000	0.000000	0.000000	0.034883
3441104820.000000	41289.393750	0.000000	0.000000	0.000000	0.034883
3441104880.000000	41289.394445	0.000000	0.000000	0.000000	0.027020
3441104940.000000	41289.395139	0.000000	0.000000	0.000000	0.031200
3441105000.000000	41289.395834	0.000000	0.000000	0.000000	0.034883
3441105060.000000	41289.396528	0.000000	0.000000	0.000000	0.034883
3441105120.000000	41289.397223	0.000000	0.000000	0.000000	0.031200
3441105180.000000	41289.397917	0.000000	0.000000	0.000000	0.034883
3441105240.000000	41289.398611	0.000000	0.000000	0.000000	0.034883
3441105300.000000	41289.399306	0.000000	0.000000	0.000000	0.031200
3441105360.000000	41289.400000	0.000000	0.000000	0.000000	0.031200
3441105420.000000	41289.400695	0.000000	0.000000	0.000000	0.031200
3441105480.000000	41289.401389	0.000000	0.000000	0.000000	0.031200
3441105540.000000	41289.402084	0.000000	0.000000	0.000000	0.031200
3441105600.000000	41289.402778	0.000000	0.000000	0.000000	0.031200
3441105660.000000	41289.403473	0.000000	0.000000	0.000000	0.034883
3441105720.000000	41289.404167	0.000000	0.000000	0.000000	0.031200
3441105780.000000	41289.404861	0.000000	0.000000	0.000000	0.031200
3441105840.000000	41289.405556	0.000000	0.000000	0.000000	0.031200
3441105900.000000	41289.406250	0.000000	0.000000	0.000000	0.031200
3441105960.000000	41289.406945	0.000000	0.000000	0.000000	0.034883
3441106020.000000	41289.407639	0.000000	0.000000	0.000000	0.031200
3441106080.000000	41289.408334	0.000000	0.000000	0.000000	0.031200
3441106140.000000	41289.409028	0.000000	0.000000	0.000000	0.034883
3441106200.000000	41289.409723	0.000000	0.000000	0.000000	0.031200
3441106260.000000	41289.410417	0.000000	0.000000	0.000000	0.034883
3441106320.000000	41289.411111	0.000000	0.000000	0.000000	0.031200
3441106380.000000	41289.411806	0.000000	0.000000	0.000000	0.031200
3441106440.000000	41289.412500	0.000000	0.000000	0.000000	0.034883
3441106500.000000	41289.413195	0.000000	0.000000	0.000000	0.044123
3441106560.000000	41289.413889	0.000000	0.000000	0.000000	0.034883
3441106620.000000	41289.414584	0.000000	0.000000	0.000000	0.031200
3441106680.000000	41289.415278	0.000000	0.000000	0.000000	0.027020
3441106740.000000	41289.415973	0.000000	0.000000	0.000000	0.031200
3441106800.000000	41289.416667	0.000000	0.000000	0.000000	0.034883
3441106860.000000	41289.417361	0.000000	0.000000	0.000000	0.031200
3441106920.000000	41289.418056	0.000000	0.000000	0.000000	0.031200
3441106980.000000	41289.418750	0.000000	0.000000	0.000000	0.031200
3441107040.000000	41289.419445	0.000000	0.000000	0.000000	0.034883
3441107100.000000	41289.420139	0.000000	0.000000	0.000000	0.034883
3441107160.000000	41289.420834	0.000000	0.000000	0.000000	0.034883
3441107220.000000	41289.421528	0.000000	0.000000	0.000000	0.034883
3441107280.000000	41289.422223	0.000000	0.000000	0.000000	0.034883
3441107340.000000	41289.422917	0.000000	0.000000	0.000000	0.031200
3441107400.000000	41289.423611	0.000000	0.000000	0.000000	0.031200
3441107460.000000	41289.424306	0.000000	0.000000	0.000000	0.034883
3441107520.000000	41289.425000	0.000000	0.000000	0.000000	0.034883
3441107580.000000	41289.425695	0.000000	0.000000	0.000000	0.031200
3441107640.000000	41289.426389	0.000000	0.000000	0.000000	0.031200
3441107700.000000	41289.427084	0.000000	0.000000	0.000000	0.031200
3441107760.000000	41289.427778	0.000000	0.000000	0.000000	0.031200
3441107820.000000	41289.428473	0.000000	0.000000	0.000000	0.031200
3441107880.000000	41289.429167	0.000000	0.000000	0.000000	0.027020
3441107940.000000	41289.429861	0.000000	0.000000	0.000000	0.031200
3441108000.000000	41289.430556	0.000000	0.000000	0.000000	0.031200
3441108060.000000	41289.431250	0.000000	0.000000	0.000000	0.031200
3441108120.000000	41289.431945	0.000000	0.000000	0.000000	0.031200
3441108180.000000	41289.432639	0.000000	0.000000	0.000000	0.034883
3441108240.000000	41289.433334	0.000000	0.000000	0.000000	0.031200
3441108300.000000	41289.434028	0.000000	0.000000	0.000000	0.031200
3441108360.000000	41289.434723	0.000000	0.000000	0.000000	0.031200
3441108420.000000	41289.435417	0.000000	0.000000	0.000000	0.034883
3441108480.000000	41289.436111	0.000000	0.000000	0.000000	0.031200
3441108540.000000	41289.436806	0.000000	0.000000	0.000000	0.034883
3441108600.000000	41289.437500	0.000000	0.000000	0.000000	0.031200
3441108660.000000	41289.438195	0.000000	0.000000	0.000000	0.031200
3441108720.000000	41289.438889	0.000000	0.000000	0.000000	0.031200
3441108780.000000	41289.439584	0.000000	0.000000	0.000000	0.034883
3441108840.000000	41289.440278	0.000000	0.000000	0.000000	0.034883
3441108900.000000	41289.440973	0.000000	0.000000	0.000000	0.031200
